pota,jaff,name,location,locid,type,level,namek,lat,lng
JA-1800,,Ariake Nishi Port Park,Tokyo,JP-TK,Provincial Park,0,有明西ふ頭公園,35.62711355,139.794356
JA-1802,,Ariake Tennis Park,Tokyo,JP-TK,Provincial Park,0,有明テニスの森公園,35.63535328,139.7883139
JA-1540,,Arima Fuji,Hyogo,JP-HG,Provincial Park,0,有馬富士公園,34.913361,135.224111
JA-1084,,Yuso no Oka,Yamagata,JP-YT,Provincial Park,0,悠創の丘,38.215185,140.349067
JA-1470,,Aburagafuchi Waterside,Aichi,JP-AI,Provincial Park,0,油ヶ淵水辺公園,34.906703,137.0085
JA-1055,,Yamoto Kaihin Ryokuchi,Miyagi,JP-MG,Provincial Park,0,矢本海浜緑地,38.405263,141.238247
JA-1273,,Nogawa,Tokyo,JP-TK,Provincial Park,0,野川公園,35.683153,139.524592
JA-1686,,Noichi Sogo,Kochi,JP-KC,Provincial Park,0,野市総合公園,33.570414,133.705737
JA-1274,,Noyamakita Rokudoyama,Tokyo,JP-TK,Provincial Park,0,野山北・六道山公園,35.764268,139.378157
JA-1504,,Kizugawa Undo,Kyoto,JP-KY,Provincial Park,0,木津川運動公園,34.844417,135.796787
JA-1464,,Kisogawa Sobue Ryokuchi,Aichi,JP-AI,Provincial Park,0,木曽川祖父江緑地,35.260611,136.705889
JA-1230,,Kiba,Tokyo,JP-TK,Provincial Park,0,木場公園,35.674455,139.808856
JA-1389,,Kibagata,Ishikawa,JP-IS,Provincial Park,0,木場潟公園,36.367056,136.449695
JA-1645,,Naruto Sogo Undo,Tokushima,JP-TS,Provincial Park,0,鳴門総合運動公園,34.167822,134.616528
JA-1543,,Akashi Nishi,Hyogo,JP-HG,Provincial Park,0,明石西公園,34.66175,134.982528
JA-1542,,Akashi,Hyogo,JP-HG,Provincial Park,0,明石公園,34.656703,134.993906
JA-1700,,Najima Undo,Fukuoka,JP-FO,Provincial Park,0,名島運動公園,33.644581,130.425323
JA-1783,,Nago Chuo,Okinawa,JP-ON,Provincial Park,0,名護中央公園,26.587765,127.991755
JA-1809,,Yumenoshima Greenway,Tokyo,JP-TK,Provincial Park,0,夢の島緑道公園,35.64765534,139.8309725
JA-1253,,Yumenoshima,Tokyo,JP-TK,Provincial Park,0,夢の島公園,35.651054,139.827402
JA-1519,,Mino,Osaka,JP-OS,Provincial Park,0,箕面公園,34.84703,135.47234
JA-1886,,Expo '70 Commemorative Park,Osaka,JP-OS,Provincial Park,0,万博記念公園,34.8111783,135.5304615
JA-1738,,Mannichiyama Ryokuchi,Kumamoto,JP-KM,Provincial Park,0,万日山緑地公園,32.791008,130.682073
JA-1193,,Makuhari Seaside,Chiba,JP-CH,Provincial Park,0,幕張海浜公園,35.64457,140.042732
JA-1511,,Hiraoka,Osaka,JP-OS,Provincial Park,0,枚岡公園,34.673995,135.654512
JA-1737,,Honmyojiyama Ryokuchi,Kumamoto,JP-KM,Provincial Park,0,本妙寺山緑地公園,32.822074,130.675576
JA-1399,,Honda no Mori,Ishikawa,JP-IS,Provincial Park,0,本多の森公園,36.559168,136.662261
JA-1126,,Horihara Sports,Ibaraki,JP-IB,Provincial Park,0,堀原運動公園,36.398383,140.439563
